segment_id,date,dow,day_type,period,time_slot,LOS,n,s_node_id,e_node_id,length,street_id,max_velocity,street_level,street_name,street_type,long_snode,lat_snode,long_enode,lat_enode,hour,minute,year_month,is_holiday
75374,2021-03-31,2,weekday,period_0_00,0,B,1,3141558633,2493364042,145,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7254178,10.8316231,106.7243729,10.8308142,0,0,2021-03,False
75375,2021-03-09,1,weekday,period_10_00,20,A,1,2493364042,2493364054,171,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7243729,10.8308142,106.7231949,10.8297932,10,0,2021-03,False
75375,2021-03-16,1,weekday,period_10_30,21,A,1,2493364042,2493364054,171,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7243729,10.8308142,106.7231949,10.8297932,10,30,2021-03,False
75375,2021-03-23,1,weekday,period_10_00,20,A,1,2493364042,2493364054,171,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7243729,10.8308142,106.7231949,10.8297932,10,0,2021-03,False
75375,2021-03-31,2,weekday,period_0_00,0,A,1,2493364042,2493364054,171,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7243729,10.8308142,106.7231949,10.8297932,0,0,2021-03,False
75375,2021-04-14,2,weekday,period_0_30,1,B,1,2493364042,2493364054,171,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7243729,10.8308142,106.7231949,10.8297932,0,30,2021-04,False
75376,2021-03-16,1,weekday,period_10_30,21,A,1,2493364054,4067981429,50,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7231949,10.8297932,106.7228302,10.8295069,10,30,2021-03,False
75376,2021-03-23,1,weekday,period_10_00,20,C,1,2493364054,4067981429,50,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7231949,10.8297932,106.7228302,10.8295069,10,0,2021-03,False
75376,2021-03-31,2,weekday,period_0_00,0,B,1,2493364054,4067981429,50,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7231949,10.8297932,106.7228302,10.8295069,0,0,2021-03,False
75376,2021-04-07,2,weekday,period_13_30,27,B,1,2493364054,4067981429,50,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7231949,10.8297932,106.7228302,10.8295069,13,30,2021-04,False
75376,2021-04-14,2,weekday,period_0_30,1,F,3,2493364054,4067981429,50,605469913,60.0,3,Phạm Văn Đồng,secondary,106.7231949,10.8297932,106.7228302,10.8295069,0,30,2021-04,False
75378,2021-03-23,1,weekday,period_10_00,20,C,1,5207877509,5742675396,5,605469951,40.0,3,Đường Pham Ngũ Lão,primary_link,106.6801828,10.8262391,106.6801335,10.8262602,10,0,2021-03,False
75378,2021-03-31,2,weekday,period_0_00,0,F,3,5207877509,5742675396,5,605469951,40.0,3,Đường Pham Ngũ Lão,primary_link,106.6801828,10.8262391,106.6801335,10.8262602,0,0,2021-03,False
75378,2021-04-14,2,weekday,period_0_30,1,F,4,5207877509,5742675396,5,605469951,40.0,3,Đường Pham Ngũ Lão,primary_link,106.6801828,10.8262391,106.6801335,10.8262602,0,30,2021-04,False
76382,2021-04-15,3,weekday,period_1_30,3,A,1,4066458588,4066459090,99,606240976,50.0,3,Xa lộ Hà Nội,trunk_link,106.7720638,10.8463923,106.771551,10.8456575,1,30,2021-04,False
76382,2021-04-22,3,weekday,period_1_30,3,A,1,4066458588,4066459090,99,606240976,50.0,3,Xa lộ Hà Nội,trunk_link,106.7720638,10.8463923,106.771551,10.8456575,1,30,2021-04,False
76383,2021-04-15,3,weekday,period_1_30,3,F,2,4066459090,366439807,22,606240976,50.0,3,Xa lộ Hà Nội,trunk_link,106.771551,10.8456575,106.7714892,10.8454687,1,30,2021-04,False
76385,2021-04-22,3,weekday,period_1_30,3,A,1,5748445121,5748445122,40,606240977,40.0,2,Xa Lộ Hà Nội,primary,106.7606306,10.8264327,106.7604375,10.8261219,1,30,2021-04,False
76386,2021-04-15,3,weekday,period_1_30,3,D,1,5748445122,5748445123,47,606240977,40.0,2,Xa Lộ Hà Nội,primary,106.7604375,10.8261219,106.7602283,10.8257425,1,30,2021-04,False
76387,2021-04-19,0,weekday,period_1_30,3,A,1,5748445123,5748445124,44,606240977,40.0,2,Xa Lộ Hà Nội,primary,106.7602283,10.8257425,106.7600244,10.8253948,1,30,2021-04,False
76389,2021-04-19,0,weekday,period_1_30,3,A,1,5748445125,5748445126,24,606240977,40.0,2,Xa Lộ Hà Nội,primary,106.7597535,10.8249153,106.7597602,10.824699,1,30,2021-04,False
76389,2021-04-22,3,weekday,period_1_30,3,A,1,5748445125,5748445126,24,606240977,40.0,2,Xa Lộ Hà Nội,primary,106.7597535,10.8249153,106.7597602,10.824699,1,30,2021-04,False
76396,2021-04-16,4,weekday,period_0_30,1,C,1,5748445142,5748445143,170,606240980,40.0,2,Xa Lộ Hà Nội,primary,106.7724082,10.8471837,106.7715847,10.8458797,0,30,2021-04,False
76397,2021-04-22,3,weekday,period_1_30,3,A,1,5748445143,5748445144,60,606240980,40.0,2,Xa Lộ Hà Nội,primary,106.7715847,10.8458797,106.7713058,10.8454134,1,30,2021-04,False
76398,2021-04-22,3,weekday,period_1_30,3,A,1,5748445144,5748445145,66,606240980,40.0,2,Xa Lộ Hà Nội,primary,106.7713058,10.8454134,106.7710054,10.8448945,1,30,2021-04,False
76401,2021-04-22,3,weekday,period_1_30,3,A,1,5748445147,5748445148,48,606240980,40.0,2,Xa Lộ Hà Nội,primary,106.7702785,10.84358,106.7700773,10.8431954,1,30,2021-04,False
76404,2021-04-15,3,weekday,period_1_30,3,A,1,5748445150,5748445151,39,606240980,40.0,2,Xa Lộ Hà Nội,primary,106.7694095,10.8420415,106.7692271,10.8417386,1,30,2021-04,False
