segment_id,date,weekday,day_type,period,time_slot,LOS,n,s_node_id,e_node_id,length,street_id,max_velocity,street_level,street_name,street_type,long_snode,lat_snode,long_enode,lat_enode,hour,minute,year_month,is_holiday
2069,2020-08-02,6,weekend,period_23_30,47,F,2,366474637,366388735,19,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6538403,10.7652775,106.6539899,10.7653719,23,30,2020-08,False
2069,2020-08-03,0,weekday,period_0_00,0,B,8,366474637,366388735,19,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6538403,10.7652775,106.6539899,10.7653719,0,0,2020-08,False
2070,2020-08-02,6,weekend,period_23_30,47,F,2,366474637,5778485990,4,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6538403,10.7652775,106.6538208,10.7652406,23,30,2020-08,False
2070,2020-08-03,0,weekday,period_0_00,0,F,8,366474637,5778485990,4,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6538403,10.7652775,106.6538208,10.7652406,0,0,2020-08,False
2071,2020-08-02,6,weekend,period_23_30,47,B,2,5778485990,366474637,4,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6538208,10.7652406,106.6538403,10.7652775,23,30,2020-08,False
2071,2020-08-03,0,weekday,period_0_00,0,F,8,5778485990,366474637,4,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6538208,10.7652406,106.6538403,10.7652775,0,0,2020-08,False
2072,2020-08-02,6,weekend,period_23_30,47,B,2,5778485990,366465994,6,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6538208,10.7652406,106.6537915,10.765185,23,30,2020-08,False
2072,2020-08-03,0,weekday,period_0_00,0,F,8,5778485990,366465994,6,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6538208,10.7652406,106.6537915,10.765185,0,0,2020-08,False
2073,2020-08-02,6,weekend,period_23_30,47,F,2,366465994,5778485990,6,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6537915,10.765185,106.6538208,10.7652406,23,30,2020-08,False
2073,2020-08-03,0,weekday,period_0_00,0,E,8,366465994,5778485990,6,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6537915,10.765185,106.6538208,10.7652406,0,0,2020-08,False
2074,2020-08-02,6,weekend,period_23_30,47,D,2,366465994,366418153,15,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6537915,10.765185,106.6537501,10.7650518,23,30,2020-08,False
2074,2020-08-03,0,weekday,period_0_00,0,F,8,366465994,366418153,15,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6537915,10.765185,106.6537501,10.7650518,0,0,2020-08,False
2075,2020-08-02,6,weekend,period_23_30,47,E,2,366418153,366465994,15,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6537501,10.7650518,106.6537915,10.765185,23,30,2020-08,False
2075,2020-08-03,0,weekday,period_0_00,0,F,8,366418153,366465994,15,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6537501,10.7650518,106.6537915,10.765185,0,0,2020-08,False
2076,2020-08-02,6,weekend,period_23_30,47,F,2,366418153,5778485984,37,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6537501,10.7650518,106.6536933,10.764717,23,30,2020-08,False
2076,2020-08-03,0,weekday,period_0_00,0,F,8,366418153,5778485984,37,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6537501,10.7650518,106.6536933,10.764717,0,0,2020-08,False
2077,2020-08-02,6,weekend,period_23_30,47,F,2,5778485984,366418153,37,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6536933,10.764717,106.6537501,10.7650518,23,30,2020-08,False
2077,2020-08-03,0,weekday,period_0_00,0,F,8,5778485984,366418153,37,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6536933,10.764717,106.6537501,10.7650518,0,0,2020-08,False
2078,2020-08-02,6,weekend,period_23_30,47,F,2,5778485984,366413450,3,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6536933,10.764717,106.6536879,10.7646854,23,30,2020-08,False
2078,2020-08-03,0,weekday,period_0_00,0,F,8,5778485984,366413450,3,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6536933,10.764717,106.6536879,10.7646854,0,0,2020-08,False
2079,2020-08-02,6,weekend,period_23_30,47,F,2,366413450,5778485984,3,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6536879,10.7646854,106.6536933,10.764717,23,30,2020-08,False
2079,2020-08-03,0,weekday,period_0_00,0,E,8,366413450,5778485984,3,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6536879,10.7646854,106.6536933,10.764717,0,0,2020-08,False
2080,2020-08-02,6,weekend,period_23_30,47,F,2,366413450,366474075,14,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6536879,10.7646854,106.653626,10.7645678,23,30,2020-08,False
2080,2020-08-03,0,weekday,period_0_00,0,F,8,366413450,366474075,14,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.6536879,10.7646854,106.653626,10.7645678,0,0,2020-08,False
2081,2020-08-02,6,weekend,period_23_30,47,E,2,366474075,366413450,14,32577244,40.0,4,Tôn Thất Hiệp,tertiary,106.653626,10.7645678,106.6536879,10.7646854,23,30,2020-08,False
